"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Australia","AUS","Population ages 15-19, female (% of female population)","SP.POP.1519.FE.5Y","7.3611014705836","7.6539493736485","7.99385751178438","8.32976940103448","8.59194796503573","8.74645146811469","8.92265334836676","8.94623911157595","8.83436233336308","8.67904006403899","8.5759202166027","8.61657820940762","8.69958998744488","8.77260674544159","8.79595685396201","8.77304734786138","8.78690538342827","8.80886690066615","8.82049655064851","8.79785889957558","8.73150163555845","8.6523530228305","8.51351518770942","8.3482329798575","8.20685605372768","8.11606552713597","8.07796085779016","8.09394876040172","8.12002085235075","8.08849997756158","7.96638229045924","7.79591345967103","7.54448472711448","7.25815599227588","7.01034544948148","6.84381534402553","6.71860501839952","6.66839902033558","6.67391110401965","6.69032365791477","6.68679717878648","6.75496753468208","6.77931997768962","6.75815342272448","6.71244727053654","6.66410182189715","6.74137483302699","6.76708682711994","6.72217281232471","6.6116889699145","6.46255208091147","6.4171210763032","6.36251581105247","6.28402769641074","6.17681074480497","6.05025641401486","5.96329604709605","5.88772671726072","5.82978545344309","5.79918145029568","",
"Australia","AUS","Female headed households (% of households with a female head)","SP.HOU.FEMA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","115.945","109.193","112.524","115.741","118.409","118.808","119.568","117.185","116.934","112.951","118.686","111.435","109.275","105.585","107.599","100.658","98.801","95.82","93.146","86.587","84.086","81.303","82.137","79.381","77.799","78.646","73.677","73.58","71.991","70.172","66.314","65.316","64.999","61.603","62.04","60.378","60.117","59.605","57.991","55.876","56.11","53.636","53.059","50.706","49.508","47.595","48.235","48.119","46.643","47.91","45.704","46.069","44.403","44.986","44.801","45.201","44.673","","","","",
"Australia","AUS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","6.26000022888184","6.1100001335144","5.78000020980835","7.15999984741211","9.96000003814697","8.98999977111816","8.26000022888184","8.07999992370605","8.10999965667725","7.23000001907349","6.17999982833862","6.92999982833862","9.57999992370605","10.7299995422363","10.8699998855591","9.72000026702881","8.47000026702881","8.51000022888184","8.35999965667725","7.67999982833862","6.86999988555908","6.28000020980835","6.73999977111816","6.36999988555908","5.92999982833862","5.3899998664856","5.03000020980835","4.78000020980835","4.38000011444092","4.23000001907349","5.55999994277954","5.21000003814697","5.07999992370605","5.21999979019165","5.65999984741211","6.07999992370605","6.05000019073486","5.71000003814697","5.59000015258789","5.30000019073486","5.15999984741211","6.46000003814697",
"Australia","AUS","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.86999988555908","","4.57000017166138","3.82999992370605","","3.41000008583069","3.25999999046326","3.42000007629395","3.33999991416931","3.11999988555908","2.99000000953674","2.47000002861023","2.67000007629395","2.53999996185303","3.30999994277954","2.96000003814697","3.4300000667572","3.41000008583069","3.25999999046326","","","","","","","",
"Australia","AUS","Labor force participation rate, total (% of total population ages 15+) (national estimate)","SL.TLF.CACT.NE.ZS","","57.4300003051758","","","","","59.5299987792969","","","","","58.6699981689453","","","","","61.4199981689453","","","60.7599983215332","61.2999992370605","61.1399993896484","60.7799987792969","60.439998626709","60.5499992370605","60.810001373291","61.8899993896484","61.9599990844727","62.3800010681152","63.1599998474121","63.75","63.1399993896484","62.8600006103516","62.4500007629395","62.9300003051758","63.5400009155273","63.5200004577637","63.1199989318848","63","62.7599983215332","63.1399993896484","63.2999992370605","63.3600006103516","63.5900001525879","63.4599990844727","64.4000015258789","64.7600021362305","65.1800003051758","65.4800033569336","65.4300003051758","65.3899993896484","65.4199981689453","65.1500015258789","64.9400024414063","64.6999969482422","65","64.870002746582","65.1699981689453","65.629997253418","65.9499969482422","65.0599975585938",
"Australia","AUS","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.1999969482422","69.5199966430664","69.120002746582","68.5100021362305","70.5","71.6600036621094","71.8399963378906","70.2699966430664","70.0100021362305","69.9599990844727","70.1600036621094","70.5999984741211","69.8600006103516","70.129997253418","70.0999984741211","70.8099975585938","70.7600021362305","70.7399978637695","70.7399978637695","69.0899963378906","68.5","68.1500015258789","67.4899978637695","66.7799987792969","66.5400009155273","67.2600021362305","66.6999969482422","66.6699981689453","67.4899978637695","67.6399993896484","",
"Australia","AUS","Average working hours of children, study and work, male, ages 7-14 (hours per week)","SL.TLF.0714.SW.MA.TM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Child employment in manufacturing, female (% of female economically active children ages 7-14)","SL.MNF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.93999981880188","10.0499995946884","10.2900002002716","10.0000004768372","9.73999965190887","9.65999996662139","10.0700001716614","9.37999975681305","9.20000004768372","9.24999988079071","8.94999957084656","9.18000036478043","8.91999989748001","8.7599995136261","8.96000021696091","8.50000014901161","8.27000007033349","8.42999964952469","8.45999962091446","8.51999980211258","8.35999992489814","8.28000023961068","7.88000011444092","8.27000001072884","8.21999981999398","8.39000010490418","8.33999966084957","8.13999985158443","8.18999977409839","",
